spp,time,units,atrazine,tri,metol,imid,chlor
leopard_frog,0,grams/hr,0.48298125,0.35563375,-0.0846,-0.19910625,0.21965
leopard_frog,2,grams/hr,0.53483125,0.4760375,0.3961875,0.21583125,0.530575
leopard_frog,4,grams/hr,0.68413125,0.4713375,0.78545,0.3205125,0.394751786
leopard_frog,6,grams/hr,0.5232625,0.42178125,0.61185625,0.56148125,0.180592857
leopard_frog,8,grams/hr,0.53128125,0.4057625,0.6062125,0.474670833,0.416541071
leopard_frog,10,grams/hr,0.6945,0.1786,0.5423,0.640325,0.600689286
fowlers_toad,0,grams/hr,0.0777875,0.1480375,0.1433375,na,0.0546125
fowlers_toad,2,grams/hr,0.166570833,0.116210714,0.215329167,na,0.132754167
fowlers_toad,4,grams/hr,0.213120833,0.2395,0.2003375,na,0.164775
fowlers_toad,6,grams/hr,0.215220833,0.274133929,0.215554167,na,0.230075
fowlers_toad,8,grams/hr,0.255270833,0.349585714,0.257570833,na,0.283766667
fowlers_toad,10,grams/hr,0.276884583,0.356803571,0.279141667,na,0.285895833
