spp,time,units,pesticide,rate
Leopard frog,0,grams/hr,Atrazine,0.48298125
Leopard frog,2,grams/hr,Atrazine,0.53483125
Leopard frog,4,grams/hr,Atrazine,0.68413125
Leopard frog,6,grams/hr,Atrazine,0.5232625
Leopard frog,8,grams/hr,Atrazine,0.53128125
Leopard frog,10,grams/hr,Atrazine,0.6945
Fowlers toad,0,grams/hr,Atrazine,0.0777875
Fowlers toad,2,grams/hr,Atrazine,0.166570833
Fowlers toad,4,grams/hr,Atrazine,0.213120833
Fowlers toad,6,grams/hr,Atrazine,0.215220833
Fowlers toad,8,grams/hr,Atrazine,0.255270833
Fowlers toad,10,grams/hr,Atrazine,0.276884583
Leopard frog,0,grams/hr,Tridimefon,0.35563375
Leopard frog,2,grams/hr,Tridimefon,0.4760375
Leopard frog,4,grams/hr,Tridimefon,0.4713375
Leopard frog,6,grams/hr,Tridimefon,0.42178125
Leopard frog,8,grams/hr,Tridimefon,0.4057625
Leopard frog,10,grams/hr,Tridimefon,0.1786
Fowlers toad,0,grams/hr,Tridimefon,0.1480375
Fowlers toad,2,grams/hr,Tridimefon,0.116210714
Fowlers toad,4,grams/hr,Tridimefon,0.2395
Fowlers toad,6,grams/hr,Tridimefon,0.274133929
Fowlers toad,8,grams/hr,Tridimefon,0.349585714
Fowlers toad,10,grams/hr,Tridimefon,0.356803571
Leopard frog,0,grams/hr,Metolachlor,-0.0846
Leopard frog,2,grams/hr,Metolachlor,0.3961875
Leopard frog,4,grams/hr,Metolachlor,0.78545
Leopard frog,6,grams/hr,Metolachlor,0.61185625
Leopard frog,8,grams/hr,Metolachlor,0.6062125
Leopard frog,10,grams/hr,Metolachlor,0.5423
Fowlers toad,0,grams/hr,Metolachlor,0.1433375
Fowlers toad,2,grams/hr,Metolachlor,0.215329167
Fowlers toad,4,grams/hr,Metolachlor,0.2003375
Fowlers toad,6,grams/hr,Metolachlor,0.215554167
Fowlers toad,8,grams/hr,Metolachlor,0.257570833
Fowlers toad,10,grams/hr,Metolachlor,0.279141667
Leopard frog,0,grams/hr,Imidacloprid,-0.19910625
Leopard frog,2,grams/hr,Imidacloprid,0.21583125
Leopard frog,4,grams/hr,Imidacloprid,0.3205125
Leopard frog,6,grams/hr,Imidacloprid,0.56148125
Leopard frog,8,grams/hr,Imidacloprid,0.474670833
Leopard frog,10,grams/hr,Imidacloprid,0.640325
Fowlers toad,0,grams/hr,Imidacloprid,na
Fowlers toad,2,grams/hr,Imidacloprid,na
Fowlers toad,4,grams/hr,Imidacloprid,na
Fowlers toad,6,grams/hr,Imidacloprid,na
Fowlers toad,8,grams/hr,Imidacloprid,na
Fowlers toad,10,grams/hr,Imidacloprid,na
Leopard frog,0,grams/hr,Chlorothalonil,0.21965
Leopard frog,2,grams/hr,Chlorothalonil,0.530575
Leopard frog,4,grams/hr,Chlorothalonil,0.394751786
Leopard frog,6,grams/hr,Chlorothalonil,0.180592857
Leopard frog,8,grams/hr,Chlorothalonil,0.416541071
Leopard frog,10,grams/hr,Chlorothalonil,0.600689286
Fowlers toad,0,grams/hr,Chlorothalonil,0.0546125
Fowlers toad,2,grams/hr,Chlorothalonil,0.132754167
Fowlers toad,4,grams/hr,Chlorothalonil,0.164775
Fowlers toad,6,grams/hr,Chlorothalonil,0.230075
Fowlers toad,8,grams/hr,Chlorothalonil,0.283766667
Fowlers toad,10,grams/hr,Chlorothalonil,0.285895833
